domain,Alphabet,Amazon,Apple,Meta,Microsoft,NVIDIA,Tesla
5g_6g_network_infrastructure,0/0,0/0,1/1,0/0,1/1,0/0,0/0
ai_efficiency_methods,1/2,1/1,0/1,0/1,0/1,1/2,2/2
ai_foundation_models,2/2,2/2,0/1,2/2,3/3,3/3,0/0
autonomous_mobility,2/2,1/1,1/1,0/0,1/1,1/1,2/2
batteries_and_storage,0/1,1/1,0/1,0/0,0/1,0/0,4/6
bio_ai_and_drug_discovery,1/1,0/0,0/0,0/0,0/0,1/1,0/0
circularity_reuse_recycling,0/1,2/2,0/1,0/2,1/1,1/1,0/1
cloud_data_centers_ai_infra,0/0,3/3,1/2,1/1,2/2,1/2,0/0
content_production_studios,0/0,1/1,1/1,0/0,0/0,0/0,0/0
digital_health_devices,0/0,1/1,0/1,0/0,1/1,0/0,0/0
digital_inclusion_and_economy,1/1,0/0,1/1,1/1,1/1,0/0,0/0
diversity_equity_inclusion,1/1,1/1,1/1,1/1,1/1,0/0,0/1
edge_computing_infrastructure,0/0,1/1,0/0,0/0,0/0,0/0,0/0
gaming_platforms_engines,0/0,0/0,0/0,0/0,1/1,0/0,0/0
industrial_automation_supply_chain,0/0,1/1,0/0,0/0,0/0,1/1,0/0
litigation_settlements_fines,0/0,0/0,0/0,2/2,0/0,0/0,0/0
quantum_computing,0/2,1/2,0/0,0/0,1/1,1/1,0/0
regulatory_compliance_investments,0/0,0/0,0/0,1/1,0/0,0/0,0/0
renewable_energy_generation,1/1,1/2,1/1,0/1,2/2,0/1,1/2
responsible_ai_safety_governance,0/0,0/0,0/0,1/2,0/1,0/0,0/0
robotics_autonomy,2/2,2/2,0/1,0/1,1/1,1/2,0/1
satellite_and_subsea_infrastructure,2/2,3/3,2/2,1/1,0/0,0/0,0/0
sci_fi_consumer_devices,0/0,0/1,0/0,1/1,0/0,0/0,0/0
security_cryptography,2/3,0/1,0/1,0/1,1/1,0/1,0/0
semiconductor_ai_hardware,0/0,1/1,1/1,0/1,1/1,1/1,1/1
superconducting_devices_squids,0/1,0/0,0/0,0/0,0/0,0/0,0/0
supply_chain_digitization,0/0,0/0,1/1,0/0,0/0,0/0,0/0
wellness_vr_and_behavioral,0/0,0/0,0/0,1/1,0/0,0/0,0/0
workforce_training_reskilling,0/0,1/1,1/1,0/0,1/1,0/0,0/0
xr_metaverse_and_spatial_computing,0/1,0/0,2/2,2/2,0/0,0/0,0/0
