,domain,total_billions,total_records,with_amount,null_amount,companies_count,documentation_rate
7,digital_inclusion_and_economy,515.8,4,4,0,4,100.0
13,cloud_data_centers_ai_infra,279.7,10,8,2,5,80.0
11,ai_foundation_models,220.18,13,12,1,6,92.3
9,xr_metaverse_and_spatial_computing,122.4,5,4,1,3,80.0
1,autonomous_mobility,57.27,8,8,0,6,100.0
2,content_production_studios,38.9,2,2,0,2,100.0
0,security_cryptography,35.4,8,3,5,6,37.5
5,renewable_energy_generation,34.0,10,6,4,7,60.0
12,satellite_and_subsea_infrastructure,24.66,8,8,0,4,100.0
8,digital_health_devices,23.6,3,2,1,3,66.7
4,batteries_and_storage,19.56,10,5,5,5,50.0
14,semiconductor_ai_hardware,10.95,6,5,1,6,83.3
18,supply_chain_digitization,10.0,1,1,0,1,100.0
3,ai_efficiency_methods,8.8,10,5,5,7,50.0
26,edge_computing_infrastructure,4.5,1,1,0,1,100.0
25,industrial_automation_supply_chain,2.64,2,2,0,2,100.0
17,5g_6g_network_infrastructure,2.35,2,2,0,2,100.0
15,robotics_autonomy,2.26,10,6,4,7,60.0
28,litigation_settlements_fines,2.14,2,2,0,1,100.0
19,quantum_computing,1.8,6,3,3,4,50.0
16,workforce_training_reskilling,1.27,3,3,0,3,100.0
10,diversity_equity_inclusion,1.22,6,5,1,6,83.3
23,bio_ai_and_drug_discovery,1.1,2,2,0,2,100.0
6,circularity_reuse_recycling,1.09,9,4,5,7,44.4
21,gaming_platforms_engines,0.98,1,1,0,1,100.0
24,sci_fi_consumer_devices,0.5,2,1,1,2,50.0
27,wellness_vr_and_behavioral,0.4,1,1,0,1,100.0
29,regulatory_compliance_investments,0.03,1,1,0,1,100.0
20,responsible_ai_safety_governance,0.01,3,1,2,2,33.3
22,superconducting_devices_squids,0.0,1,0,1,1,0.0
